// All rights reserved. salskY (11)
// (c) 2008 salskY <salas.millennium@gmail.com>
xmlLang	pl
Outcasts (Ban)	Zablokowani 
Set affiliation to	Zmień przynależność na
Hide Offlines	Ukryj Rozłączonych 
Register Account	Zarejestruj Konto 
autologin	Autologowanie 
Publish	Publikuj 
Remove subscription	Odbierz autoryzację 
Set	Ustaw 
Application	Aplikacja 
Bookmarks	Zakładki 
Test sound	Test Dźwięku 
Startup	Początek 
Edit rule	Edytuj Zasadę 
Cancel	Anuluj 
Close	Zamknij 
Archive	Archiwum 
free 	Wolne: 
Conference	Konferencje
Sound	Dźwięk 
Login failed	Nie Uwierzytelniono 
New Jid	Nowy JID 
plain-text password	Nieszyfrowane hasło 
Paste Nickname	Wklej Pseudonim 
Kick	Wyrzuć 
Clear List	Wyczyść Listę 
Grant Voice	Daj Głos 
Quote	Edytuj 
Roster elements	Elementy rostera 
popup from background	Maksymalizuj gdy nowa wiadomość 
smiles	Emotikony 
About	O programie 
Resource	Zasób 
Disconnected	Błąd Serwera 
Edit	Edytuj 
Host name/IP (optional)	Nazwa hostu/IP 
Add rule	Dodaj zasadę 
for all status types	Dla wszystkich typów statusu 
Paste Jid	Wklej JID 
Goto URL	Idź do URL'a 
Clock -	Zegar-
Login	Zaloguj się 
Clock offset	Różnica Zegara 
Authorize new contacts	Autoryzuj nowe kontakty 
Show new menu	Pokaż nowe Menu 
flash backlight	Efekty Podświetlania 
Suspend	Przerwij 
Resume Message	Dokończ 
Alert Profile >	Profil dźwięku > 
My vCard	Moja wizytówka 
transports	Transporty
New Account	Nowe konto 
self-contact	Własny kontakt
vCard	Katalog publiczny 
Set Subject	Ustaw Temat 
Tools	Narzędzia 
Jabber Tools	Narzędzia Jabber'a 
Port	Port 
//473
Proxy name/IP	Nazwa Proxy/IP 
Proxy port	Port proxy 
autofocus	Autopodświetlanie nowej wiadomości
Connect	Połącz 
history -	Historia -
Are You sure want to discard 	Jesteś pewny, że chcesz zmienić 
 from OWNER to 	 z Właściciela na 
Modify affiliation	Modyfikuj przynależność 
// DO NOT TRANSLATE THIS LINES!!!
Ignore-List	Lista Ignorowania
General	Generalna
Stanzas	Szczegół 
Not-in-list	Spoza Listy
proxy CONNECT	Połączenie Proxy 
//476
Clear	Wyczyść 
//494
Ask subscription	Zapytaj o Autoryzację 
Grant subscription	Daj Autoryzację 
//502
Invite to conference	Zaproś do konferencji 
Reason	Powód 
You have been invited to 	Zostałeś zaproszony do: 
 is inviting You to 	 zaprasza Cię na: 
Visitors are not allowed to send messages to all occupants	Nowoprzybyli Wizytorzy nie posiadają zezwolenia na wysyłanie wiadomości do wszystkich uczestników czatu. 
Unaffiliate	Odbierz przynależność 
Grant Moderator	Daj Moderatora 
Revoke Moderator	Odbierz Moderatora 
Grant Admin	Daj Administratora 
Grant Ownership	Daj Właściciela 
room presences	Uczestnicy pokoju 
 is now known as 	 zmienił(a) nick na 
 was banned 	 został(a) zablokowany(a)
 was kicked 	 został(a) wyrzucony(a)
 has been kicked because room became members-only	 został(a) wyrzucony(a) ponieważ pokój jest tylko dla osób posiadających członkowstwo w pokoju
 has left the channel	 opuścił(a) rozmowę
 has joined the channel as 	 dołączył(a) do rozmowy jako 
 and 	 i 
 is now 	 jest teraz 
Participants	Uczestnicy 
Abc	Аbc

 
online	dostępny 
error	Błąd 
chat	chętny do rozmowy 
away	oddalony
xa	zaraz wracam 
dnd	niedostępny
invisible	niewidoczny 
offline	wylogowany 

Clear Photo	Usuń Zdjęcie 
Camera	Kamera 

Load Photo	Wybierz Zdjęcie 
Hide finished	Ukryj przesłane 
Transfer tasks	Przesłane pliki 
Color tune	Ustawienia kolorów 
Load Scheme	Załaduj skórkę 
Select history folder	Wybierz folder Historii 
Classic chat	Klasyczny Czat 
Sound volume	Głośność dźwięku 
Language	Język 
Save history	Zapisuj historię 
Save presences	Zapisz obecność 
Save conference history	Zapisz czat 
Save conference presences	Zapisz obecność czata 
1251 correction	Korekcja Windows 1251 
History folder	Folder Historii 

Copy	Kopiuj 
Paste	Wklej 

Save template	Do Notatek 
Template	Notatki
 
has set topic to	ustawił temat na:

Seen	Aktywny 
Time	Czas użytkownika 
Main menu	Menu 

Root	Przegląd dysku
 
File transfers	Transfer plików
 
Choose status	Wybierz Status 
Add status	Dodaj Status 
Remove status	Usuń Status 
User	Użytkownik 
Reason	Powód 
Address	Adres serwera: 
Export to file	Eksportuj do pliku 
View	Podgląd 
Stop	Zatrzymaj 
Path	Przeglądaj 
Select file	Wybierz plik 
Accept file	Akceptuj plik 
File	Plik: 
Save To	Zapisz do 
Sender	Nadawca: 
Size	Rozmiar: 
Description	Szczegóły: 
Rejected	Odrzucono 
Send file	Wyślij plik 
To	Do 
Can't open file	Nie można otworzyć pliku 
New	Nowa 
New Template	Nowa Notatka 
Save photo	Zapisz zdjęcie 
User has removed autorization	[Użytkownik odebrał Autoryzację] 
You are now autorized	[Jesteś teraz Autoryzowany] 
User request autorization	[Użytkownik pyta o Autoryzację] 
Grant Membership	Daj Członkowstwo 
Reply	Odpisz 
Save template	Zapisz Notatkę 
balloon ink	Czcionka dymku 
balloon background	Tło dymku 
messagelist & roster background	Lista, Roster, Tło 
messagelist & roster even lines	Kolejna Wiadomość 
messagelist & roster & common font	Czcionka Kolumny 
message subject	Czcionka Tematu 
message highlight	Czcionka Wiadomości Systemu 
service discovery commands	Czcionka Serwera 
Header & Bottom background	Góra i Dół Panelu 
Header font	Czcionka Panela 
contact default	Kontakt Dostępny 
contact chat	Kontakt chętny do rozmowy 
contact away	Kontakt oddalony 
contact extended away	Kontakt zaraz Wracam 
contact do not disturb	Kontakt niedostępny
group color	Kolor Grupy 
keylock font	Kolor Czcionki Blokady Klawiatury 
keylock background	Tło Blokady Klawiatury 
message incoming	Wiadomość Przychodząca 
message outgoing	Wiadomość Wychodząca 
message presence	Wiadomość Obecności 
message auth	Wiadomość Autoryzacji 
message history	Wiadomość Historii 
progress bar remained	W trakcie Początek 
progress bar complete	W trakcie Koniec 
progress border	W trakcie Wygląd 
progress bar background	W trakcie Tło 
Heap mon total	Monitor Pamięci Pełny 
Heap mon free	Monitor Pamięci Wolny 
Cursor background	Tło Kursora 
Cursor ink & outline	Czcionka i obramowanie Kursora 
Scroll border	Pasek Obraz 
Scroll bar	Pasek Baneru 
Scroll back	Pasek Powrót 
Send status	Pokaż status 
Sounds options	Ustawienia dźwięku 
participant	uczestnik
moderator	moderator
visitor	wizytor
none	osobą bez przynależności
member	member
admin	admin
owner	właściciel
Opening stream	Otwieranie strumienia
Using compression	Użycie kompresji danych
Authenticating	Identyfikowanie użytkownika
Resource binding	Uwierzytelnienie z serwera
Initiating session	Inicjowanie sesji
second	sekunda
seconds	sekundy
seconds_	sekund
minute	minuta
minutes	minuty
minutes_	minut
hour	godzina
hours	godziny
hours_	godzin
week	tydzień
weeks	tygodnie
weeks_	tygodni
day	dzień
days	dni
days_	dni
month	miesiąc
months	miesiące
months_	miesięcy
year	rok
years	lata
years_	lat
Auto xa since %t	Auto status zaraz wracam od: %t
Auto away since %t	Auto status (oddalony) od: %t
Auto Status on KeyLock since %t	Auto status (oddalony) z powodu blokady klawiatury od: %t
Grant Membership	Daj Członkowstwo
SASL login	SASL Strumień
Features	Szczegóły
Show password	Pokaż hasło
No client version available	[Funkcja wersji klienta i oprogramowania nie jest w tej chwili dostępna]
Message limit	Limit wiadomości
Text wrapping	Zawijanie tekstu
by chars	przez znaki
by words	przez słowa
Info	Info
No reason	Bez powodu
Recent	Poprzednie
Are you sure want to delete this message?	Czy jesteś pewien, aby usunąć tą wiadomość
New conference	Nowy czat
authorize new contacts	Automatyczne Autoryzowanie
[auto-subscribe]	[Automatyczne Autoryzowanie]
Keep-Alive	Typ podtrzymania połączenia
Minutes before away	Czas włączenia automatycznego statusu (min)
Automatic Away	Аuto odejście
disabled	Wyłączone
keyblock / flip	Blokada klawiatury / Przycisk
Idle	Bezczynny
Remove readed	Wyczyść okienko
Rename	Zmień nazwę
Check Updates	Sprawdź aktualizacje
Statistics	Statystyka
Move	Przenieś
Copy JID	Kopiuj JID
Collapsed groups	Zwijanie grup
show statuses	Pokaż status
Show Resources	Pokaż zasób
Save options to server	Zapisz ustawienia na serwerze
Delete all messages	Usuń wszystkie wiadomości
Use this Color scheme	Użyj tego schematu koloru

Save chat	Zapisz chat
Block private	Odrzuć rozmowę
Allow private	Akceptuj rozmowę
Change nickname	Zmień nick
show new menu	Użyj nowego menu
History options	Opcje Historii
Last Messages	Ostatnie wiadomości
Last messages	Ostatnie wiadomości
Contact request chat, Allow or Block?	Użytkownik przesyła wiadomość, Akceptuj lub odrzuć.
keyblock	Blokada klawiatury
by message	Od ostatniej wiadomości
Sound volume	Głośność dźwięku
User mood	Nastrój
delivery events	Potw. dostarczenia
Recent services	Poprzednio przeglądane
exit confirmation	Potw. wyjścia z aplikacji
Last messages	Ostatnie wiadomości
Filenames transliterate	Nazwa archiwum transliteracji
Are you sure want to Quit?	Czy jesteś pewny(a) aby zakończyć?
Yes	Tak
No	Nie
show statuses	pokaż statusy
Change transport	zmień transport
Edit/join	Edytuj/wejdź
Last Messages	Ostatnie wiadomości
No client info	Brak informacji na temat wersji klienta
shared platform info	Pokaż informacje o platformie
Join marked (auto)	Auto wejście do konferencji
Turn on light	Włącz podświetlenie
show last appeared contacts	Pokaż ostatnio ukazany kontakt
show balloons	Pokaż "balloons"
custom key	Klawisz skrótu
custom keys	Klawisze skrótu
Add custom key	Dodaj klawisz skrótu
enabled	uaktywnij
keys action	Skrót do:
key	klawisz
Enter Jabber server address here	Wpisz niżej adres serwera
Address	Adres
Delete All	Usuń wszystko
Make BackUp	Zapisz archiwum (BackUp)
Import from BackUp	Importuj zapisane archiwum (BackUp)
convert to cp1251	konwertuj do cp1251
reconnect	Zaloguj ponownie
Clear popups	wyczyść popups
Last messages 	Ostatnie wiadomości
Message collapse limit	Auto zwijanie wiadomośći (ustaw po ilu znakach)
Chat history length	Ilość wiadomości w konferencji
Break connection	Wznów połączenie
Sun	Niedziela
Mon	Poniedziałek
Tue	Wtorek
Wed	Środa
Thu	Czwartek
Fri	Piątek
Sat	Sobota
Automatic subscription	Automatyczna autoryzacja
Ask me	Zapytaj mnie
Drop subscription	Odrzuć
Deny subscription	Zabroń
All signals	Wszystkie sygnały
Vibra	Wibracja
Sound	Dźwięk
No signals	Bez sygnałów
 (default)	 (domyślnie)
Search	Szukaj
Register	Zarejestruj
messages & presences	wiadomości & prezencja

Blink	Miganie
Notices options	Ustawienia dźwięku

Message sound	Dźwięk wiadomości
Online sound	Dźwięk dostępny
Offline sound	Dźwięk wylogowany
"Message for me" sound	Dźwięk "wiadomość do mnie"
Composing sound	Dźwięk kompozycji
Conference sound	Dźwięk dla konferencji
StartUP sound	Dźwięk przy uruchomieniu
Outgoing sound	Dźwięk zw/oddalony
Vip sound	Dźwięk dla VIP

Copy JID	Kopiuj JID
Ping request	Ping
Online time	Dostępny

Break connection	Wznów połączenie
autoScroll	autoPrzewijanie
emulate tabs	Przełączanie między kontaktami (klawisze 4-6)
antispam conference	Antyspam w konferencji
popUps	Wyskakujące okienka
Started: 	Uruchomiono: 
Traffic stats: 	Statystyka: 
All: 	Wszysko: 
Previous: 	Poprzednio: 
Current: 	Użyto: 
Memory:	Pamięć:
Free: 	Wolne: 
Total: 	Całkowita: 
in: 	in: 
out: 	out: 
Stream: 	Strumień:
 	
bold font for contacts	Pogrubienie czcionki dla kontaktów
running message	Pokaż wiadomość (w trybie pisania)
Composing message to you	User komponuje wiadomość do mnie
No compression	Nie używaj kompresji
New room created	Utworzono nowy pokój
Sound volume	Głośność
IRC-like conference nick-status	IRC status (nick-status)
Description	Opis
This user wants to subscribe to your presence	[Użytkownik prosi o autoryzacje]
You are now authorized	[Zostałeś autoryzowany]
Your authorization has been removed!	[Użytkownik odebrał autoryzacje]
Send Buffer	Wyślij bufor
Free: 	Wolne: 
Build new version on constructor	Zbuduj nową wersję w kreatorze
user moods send/receive	Nastrój (wyślij/odbierz)
Import/Export	Zapisz/Przywróć ustawienia
Auto tasks	Auto zadanie
Auto task type	Auto zakończenie (typ)
Auto task action type	Auto zakończenie zadania (typ)
Quit BombusMod	Zamknij aplikacje
Quit by time	Auto zakończenie
Quit by timer:	Auto zakończenie po:
Quit conferences	Zamknij czaty
by time	ustaw po czasie
by timer	ustaw po zegarze
both	obustronna
Disconnection	Przerwij połączenie
Delay (min.)	Ustaw czas (w minutach)
Start time	Ustaw zegar
Hour	Godz.
Min	Min.
by timer 	ustaw czas
by time 	ustaw wg zegara
Use: 	Używa:
Send current color scheme 	Wyślij swój schemat koloru
Browse rooms	Przeglądaj pokoje
Autorespond	AutoOdpowiedź
show statuses	Pokaż statusy
to	do
from	od

Invert colors	Zmień kolory
XML console	konsola XML
Please create account or enter account(s) settings.\n\nMenu, New Account	Prosze utworzyć konto lub edytuj konto\n\nMenu, Nowe konto
Please enter settings.\n\nMenu, Tools, Options	Prosze wprowadzić ustawienia\n\nMenu, Narzędzia, Ustawienia ogólne

Second line	Druga linia (pokaż opisy)
Fonts options	Ustawienia czcionki
Popup & ballon font	Czcionka dla balon i popUp
normal	normalna
small	mała
large	duża
