// Copyright (c) 2005-2007, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	uk
self-contact	свої контакти
vCard	Візитна картка (vCard)
Set Subject	Встановити тему
Tools	Iнструменти
Port	Порт

Connect	З'єднатися
history -	Iсторiя
Are You sure want to discard	 Ви дiйсно хочете понизити у 
 from OWNER to	  з власника (OWNER) до 
Modify affiliation	Змiна членства

// DO NOT TRANSLATE THIS LINES!!!
Ignore-List	Ignore-List
General	General
Stanzas	Stanzas
Not-in-list	Not-in-list

Clear	Очистити
Ask subscription	Запросити пiдписку
Grant subscription	Дозволити пiдписку

Invite to conference	Запросити в конференцiю
Reason	Причина
You have been invited to	 Ви були запрошенi до 
 is inviting You to	  запрошує Вас в 
Visitors are not allowed to send messages to all occupants	Гостi не можуть вiдсилати повiдомлення в загальний чат
Unaffiliate	Позбавити членства
Grant Moderator	Надати право модератора
Revoke Moderator	Позбавиит прав модератора
Grant Admin	Надати право адмiнiстратора
Grant Ownership	Надати право власника

room presences	статуси в конференцiї

 is now known as	  змінив НIК на 
 was banned	  заборонили входити в кiмнату 
 was kicked	  вигнали iз кiмнати 
 has been kicked because room became members-only	 вигнали, т.як. кiмната закрилася
 has left the channel	 вийшов з кiмнати
 has joined the channel as	  зайшов як 
 and	  i 
 is now	  тепер 

Participants	Учасники
Abc	Абв

error	помилка
chat	хочу побалакати
away	вiдсутнiй
xa	давно вiдсутнiй
dnd	зайнятий
invisible	невидимий
offline	не в мережi
unavailable	недоступний

Clear Photo	Очистити фото
Camera	Камера

Hide finished	Приховати закiнченi
Transfer tasks	Задачi передачi данних 

Color tune	Настройка кольорiв

Select history folder	Вибiр папки історiї
Classic chat	Класичний чат
Language	Мова
Save history	Зберiгати iсторiю
Save presences	Зберiгати статуси
Save conference history	Зберiгати iсторiю конференцiї
Save conference presences	Зберiгати статуси конференцiї
1251 correction	Корекцiя кодування 1251
History folder	Папка iсторiї
AutoStatus	Автостатус
AutoStatus time	Час автостатусу

Copy	Копiювати
Paste	Вставити

Save template	Зберегти шаблон
Template	Шаблон

has set topic to	змiнив топiк на

Seen	Бачили
Idle	Бездiяльнiсть

Main menu	Головне меню

Root	Менеджер файлiв

File transfers	Передача файлiв

Choose status	Вибiр статусу
Add status	Додати статус
Remove status	Видалити статус

User	Користувач
Reason	Причина
Address	Адреса
Export to file	Експорт в файл

View	Огляд
Stop	Зупинити

Path	Шлях
Accept file	Приняти файл
File	Файл
Save To	Зберегти як
Sender	Вiдправник
size:	Розмiр
Description	Опис
Rejected	Вiдмiнено
Send file	Надіслати файл
To: 	Кому
Can't open file	Файл не вiдкриваєтся

New	Новий
New Template	Новий шаблон

Save photo	Зберегти фото

This user wants to subscribe to your presence	Запит авторизацiї
You are now authorized	Ви авторизированi
Your authorization has been removed!	Користувач видалив авторизацiю

Grant Membership	Надати членство
Reply	Вiдповiсти
Save template	Зберегти шаблон

balloon ink	Шрифт балону
balloon background	Фон балону
messagelist & roster background	Колiр фону, загальний
messagelist & roster even lines	Колiр фону, подій
messagelist & roster & common font	Загальний шрифт
message subject	Тема повiдомлення
message highlight	Пiдсвiчене повiдомлення
service discovery commands	Команди дiско
Header & Bottom background	Фон верхньої i нижньої панелi
Header font	Шрифт верхньої панелi
contact default	Звичайний контакт
contact chat	Чат контакт
contact away	Вiдсутнiй контакт
contact extended away	Давно вiдсутнiй контакт
contact do not disturb	Не турбувати контакт
group color	Колiр групп
keylock font	Шрифт при блокуванні
keylock background	Фон при блокуванні
message incoming	Вхiдне повiдомлення
message outgoing	Вихiдне повiдомлення
message presence	Статусне повiдомлення
message auth	Повiдомлення авторизацiї
message history	Історiя повiдомлень в конференцiї
progress bar remained	Залишилося індикатора прогресу
progress bar complete	Зроблено індикатора прогресу
progress border	Рамка індикатора прогресу
progress bar background	Фон індикатора прогресу
Heap mon total	Всього пам'ятi
Heap mon free	Вiльно пам'ятi
Cursor background	Фон курсору
Cursor ink & outline	Шрифт курсору i ободу
Scroll border	Обод скролу
Scroll bar	Бігунок скролу
Scroll back	Фон скролу

Sounds options	Настройки звукiв

participant	участник
moderator	модератор
visitor	гiсть
none	нiхто
Sat	Сб
admin	адмiнiстратор
owner	власник

Opening stream	Пiдключення
Using compression	Включення компресiї
Authenticating	Авторизацiя
Resource binding	Прив'язка до ресурсу
Initiating session	Створення сесiї

second	секунда
seconds	секунди
seconds_	секунд

minute	хвилина
minutes	хвилини
minutes_	хвилин

hour	година
hours	години
hours_	годин

day	день
days	дня
days_	днiв

Auto xa since %t	Автостатус "недоступний" починючи з %t
Auto away since %t	Автостатус "Вiдсутнiй" починаючи з %t

Grant Membership	Надати членство

Features	Можливостi
Show password	Показати пароль
No client version available	Версiя клiєнту недоступна
Message limit	Лiмiт повiдомлень

Text wrapping	Переноси тексту
by chars	по буквах
by words	по словам
Info	Інфо
Reply	Вiдповiсти
Send status	Надіслати статус
No reason	Без причини
Recent	Iсторiя вводу

Select file	Обрати файл
Load Photo	Завантажити фото
Clear Photo	Очистити фото
Camera	Камера
Hide finished	Приховати завершеннi
Transfer tasks	Менеджер передачi файлiв
Are you sure want to delete this message?	Видалити дане повідомлення?
New conference	Нова конференцiя
Root	Корiнь диску
Decline	Вiдхилити
authorize new contacts	автоматична авторизацiя
[auto-subscribe]	[автопiдписка]
Keep-Alive	Тип підтримання з'єдання

Minutes before away	Таймер автостатусу (хвилини)
Automatic Away	Автозмiна статусу
disabled	вимкнено
keyblock / flip	блок / флiп

Save options to server	Зберегти на серверi
Restore options from server	Завантажити настройки iз серверу
Make BackUp	Зберегти копiю на диск
Delete All	Очистити архiв
Use this Color scheme	Використати схему

Send Buffer	Надіслати текст iз буферу
Send Current color scheme	Надіслати кольор. схему
Copy JID	Копiювати JID
autofocus	автофокус
Show Resources	Показувати ресурси
PopUps	Випливаючi вiкна
Last messages	Останнi повiдомлення
Shared platform info	Показувати інформацію про платформу
Show new menu	Показувати нове меню
Save conference history	Зберiгати iсторiю конференцiї
AutoStatus Message	Повiдомлення Автостатусу

online	в мережi
Load Scheme	Завантаж. схему
show new menu	графiчне меню
convert to cp1251	зберiгати в Win-1251
AutoStatus time (min)	Автостатус через(хвил.)
Import from BackUp	Вiдновити iз файла
Accept file	Приняти файл
Save To	Зберегти в
Description	Опис
Can't open file	Неможливо вiдкрити файл
New	Новий
Time	Час
Are You sure want to clear messagelist?	Стерти всi повiдомлення?
Are you sure want to BAN this person?	Заборонити входити в кiмнату?
Shot	Знiмок
 has been unaffiliated and kicked from members-only room	 вигнали, так як кiмната закрита для гостей
keyblock	блок кнопок
Rename	Переіменувати
Move	Перемiстити
Save	Зберегти
Allow private	Дозволити приват
Block private	Заборонити приват
Contact request chat, Allow or Block?	З вами хочуть поспiлкуватися, Дозволити чи Заборонити?
shared platform info	показувати iнформацiю про платформу
Send in translit	Вiправити транслiтом
Check Updates	Пошук нових версій
Change nickname	Змiнити НiК
Message collapse limit	Згортати якщо повiдомленнь бiльше
No client info	Неможливо отримати iнформацiю
Delete all messages	Стерти всi повiдомлення
Statistics	Статистика
Last Messages	Останнi повiдомлення
Edit/join	Редагувати/Пiдключити
Save chat	Зберегти повiдомлення
show statuses	показувати статуси
Google token request	Аутентифікація в Google
by message	за повiдомленням
Join marked (auto)	Автоматичне з'єднання
History options	Настройка iсторiї
Filenames transliterate	Iмена файлiв транслiтом
User mood	Настрiй
delivery events	подiї доставки
drop all	вiдкидати всi
receive messages	отримувати повiдомлення
messages & presences	повiдомлення i статуси
normal	середнiй
small	дрібний
large	великий
Auto	Авто
All signals	Всi сигнали
Vibra	Вiбрацiя
No signals	Без сигналiв
 (default)	 (як основний)
Quit?	Вийти?
Are you sure want to Quit?	Ви дійсно бажаєте вийти?
exit confirmation	пiдтвердження виходу
show last appeared contacts	показувати тих, що недавно пiдключилися
custom keys	сполучення кнопок
Add custom key	Додати сполучення кнопок
keys action	дiї
enabled	ввімкнено
key	кнопка
reconnect	повторне з'єднання
Sort list	Сортирувати список

Sun	Нд
Mon	Пн
Tue	Вт
Wed	Ср
Thu	Чт
Fri	Пт
member	постiйний учасник
Blink	Блимати
Notices options	Сповіщення
Message sound	Звук повідомлення
Online sound	Звук входу в мережу
Offline sound	Звук виходу з мережі
"Message for me" sound	Звук повідомлення для мене
Composing sound	Звук при наборі
Conference sound	Звук в конференції
StartUP sound	Звук при запуску
Outgoing sound	Звук вихідного повідомлення
Vip sound	Звук для VIP
Copy JID	Копіювати JID
Ping request	Запит ping
Online time	Час в мережі
free 	вільно 
Heap mon total	Пам'яті загалом
Heap mon free	Пам'яті вільно
Ignore-List	список ігнорованих
Ask me	Запитувати в мене
Automatic subscription	Автоматична підписка
Drop subscription	Ігнорувати підписку
Deny subscription	Відмовіляти у підписці
Not-in-list	Не-в-списку
Clear popups	Видалити спривалючі повідомлення
Last Messages	Останні повідомлення
Sound volume	Гучність
Break connection	Розірвати з'єднання
autoScroll	автопрокрутка
antispam conference	антиспам в конференціях
popUps	спливаючі повідомлення
Started: 	Запущена: 
Traffic stats: 	Статистика трафіку: 
All: 	Загалом: 
Previous: 	Попередній: 
Current: 	Поточний: 
Memory:	Пам'ять:
Free: 	Вільно: 
Total: 	Загалом: 
conn., 	з'єдн., 
bold font for contacts	товстий шрифт контактів
running message	показ. повідомл. при наборі
Composing message to you	Повід. про набір пові. для Вас
No compression	вимкнути компресию
New room created	Створена нова кімната
Import/Export	Зберегти/Відновити парам.
Authorize new contacts	Авторизувати нових користувачів
emulate tabs	вдавати вкладки
collapsed groups	згорнуті групи
show resources	показувати ресурси
Sound volume	Гучність
show balloons	показувати балони
turn on light	ввімкнути підсвітку
IRC-like conference nick-status	IRC-подібні статуси
Description	Опис
user moods send/receive	настрої
Build new version on constructor	Зібрати нову версію в конструкторі

Auto tasks	Автоматизовані дії
Auto task type	Тип планування
by timer 	за таймером
by time 	певний час
Auto task action type	Тип дії
Quit BombusMod	Вийти з програми
Quit conferences	Вийти з конференцій
Disconnection	Роз'єднатися
Delay (min.)	Виконати через (хв.)
Start time	Розпочати о
Hour	Годин
Min	Хвилин
Browse rooms	Перегляд кімнат
Autorespond	Автовідповідач
Invert colors	Інвертувати кольори
XML console	XML консоль
Clipboard	буфер обміну
Please create account or enter account(s) settings.\n\nMenu, New Account	Будь ласка, створіть обліковий запис або увійдіть до налаштувань облікових записів.\n\nМеню, Нов. обл. запис
Please enter settings.\n\nMenu, Tools, Options	Будь ласка, створіть налаштування.\n\nМеню, Інструменти, Параметри
User tune	Що слухає
User mood	Настрій
Personal events not supported	Особисті події не підтримуються
user tune receive	отримувати назви композицій
Bar font	Шрифт панелі
Popup & ballon font	Шрифт спливаючих повідомлень
Fonts options	Параметри шрифтів
Second line	додатковий рядок
